algorithm,input,n,time_ms,comparisons,max_depth
mergesort,random,1000,0.0410,9523,7
quicksort,random,1000,0.0543,11480,6
quickselect,random,1000,0.0103,3432,17
medianofmedians,random,1000,0.0209,7781,4
mergesort,random,10000,0.6607,127212,10
quicksort,random,10000,0.8765,154907,9
quickselect,random,10000,0.0973,26363,19
medianofmedians,random,10000,0.3974,81696,5
mergesort,random,100000,8.6299,1639343,13
quicksort,random,100000,10.2874,2079782,11
quickselect,random,100000,1.1258,274251,25
medianofmedians,random,100000,3.4423,827899,7
mergesort,random,1000000,98.4939,19889337,17
quicksort,random,1000000,106.9217,24851689,13
quickselect,random,1000000,11.7461,2804286,30
medianofmedians,random,1000000,35.2815,8522774,8
mergesort,sorted,1000,0.0137,4236,7
quicksort,sorted,1000,0.0373,12992,5
quickselect,sorted,1000,0.0054,3464,13
medianofmedians,sorted,1000,0.0128,6238,4
mergesort,sorted,10000,0.1509,59248,10
quicksort,sorted,10000,0.4187,158333,8
quickselect,sorted,10000,0.0196,19786,17
medianofmedians,sorted,10000,0.1953,68030,5
mergesort,sorted,100000,1.7684,744016,13
quicksort,sorted,100000,5.3719,2078206,11
quickselect,sorted,100000,0.3041,346866,13
medianofmedians,sorted,100000,1.5297,709499,7
mergesort,sorted,1000000,22.6905,9071040,17
quicksort,sorted,1000000,57.2946,24713944,13
quickselect,sorted,1000000,3.5682,3901449,26
medianofmedians,sorted,1000000,15.5588,7217916,8
mergesort,duplicates,1000,0.0218,9036,7
quicksort,duplicates,1000,0.0092,3094,2
quickselect,duplicates,1000,0.0029,1000,1
medianofmedians,duplicates,1000,0.0067,3103,4
mergesort,duplicates,10000,0.5277,121712,10
quicksort,duplicates,10000,0.1170,36074,2
quickselect,duplicates,10000,0.1725,25973,5
medianofmedians,duplicates,10000,0.1398,30871,5
mergesort,duplicates,100000,4.3458,1563025,13
quicksort,duplicates,100000,1.4925,379992,2
quickselect,duplicates,100000,1.1464,229347,5
medianofmedians,duplicates,100000,2.5077,540498,7
mergesort,duplicates,1000000,47.4308,18922524,17
quicksort,duplicates,1000000,16.6048,3598299,2
quickselect,duplicates,1000000,12.7915,3299397,5
medianofmedians,duplicates,1000000,15.0542,3143453,8
